frame,time_s,x_px,y_px,distance_m
1,0.0,963,469,0.0
2,0.0003125,956,469,0.004684052662923932
3,0.000625,951,469,0.008029804565012455
4,0.0009375,945,469,0.012044706847518682
5,0.00125,939,469,0.01605960913002491
6,0.0015625,934,468,0.019416894680104737
7,0.001875,928,468,0.02342982065568861
8,0.0021875,922,467,0.02746778768427069
9,0.0025,916,467,0.031478529485347954
10,0.0028125,911,466,0.034853678921550016
11,0.003125,907,466,0.03752615379203396
12,0.0034375,899,464,0.04295611896433182
13,0.00375,891,464,0.04829485960713566
14,0.0040625,887,463,0.05101366571944893
15,0.004375,879,462,0.056403463152642434
16,0.0046875,875,461,0.05912806021201392
17,0.005,866,461,0.06512796342640734
18,0.0053125,860,461,0.06913006797340245
19,0.005625,855,460,0.07251873833911171
20,0.0059375,850,459,0.07590949979172397
21,0.00625,842,459,0.08124323391033603
22,0.0065625,835,459,0.08591223792866363
23,0.006875,830,458,0.08930086978876721
24,0.0071875,824,459,0.0932522938064215
25,0.0075,819,458,0.09663838194400635
26,0.0078125,815,458,0.09930741740313169
27,0.008125,807,457,0.10469584246707281
28,0.0084375,799,457,0.11003404356298015
29,0.00875,795,455,0.11280692630528487
30,0.0090625,788,454,0.11753069745928485
31,0.009375,782,454,0.12153141557635068
32,0.0096875,777,453,0.12492161260639333
33,0.01,771,452,0.12897949523518723
34,0.0103125,765,453,0.13292365349874807
35,0.010625,760,453,0.13625880130780407
36,0.010937500000000001,754,451,0.14037014284432803
37,0.01125,747,451,0.14503747667822342
38,0.0115625,740,450,0.14976117715049891
39,0.011875,734,449,0.1538187377424185
40,0.0121875,729,449,0.1571520717230778
41,0.0125,722,449,0.1618196003794631
42,0.012812500000000001,716,448,0.16587642729643234
43,0.013125,710,448,0.1698772375201224
44,0.0134375,705,447,0.17326731401276776
45,0.01375,699,447,0.17726802705116193
46,0.0140625,692,447,0.18193631570415722
47,0.014375,685,448,0.1865537977424549
48,0.014687500000000001,680,446,0.1899939356616143
49,0.015,674,445,0.19405014916761032
50,0.0153125,669,445,0.19738461768112572
51,0.015625,664,444,0.20077410854790573
52,0.0159375,656,445,0.20605594777321468
53,0.01625,651,444,0.20944406907074153
54,0.0165625,642,444,0.2154477187217579
55,0.016875,637,443,0.21883570594281582
56,0.0171875,632,443,0.22217102674817835
57,0.0175,627,441,0.22561385261056974
58,0.017812500000000002,621,441,0.22961512852594493
59,0.018125,615,440,0.23367149020380437
60,0.0184375,609,440,0.2376727579122632
61,0.01875,602,440,0.2423414735922127
62,0.0190625,597,440,0.24567662797824089
63,0.019375,590,440,0.2503463192437505
64,0.0196875,584,438,0.2544549355302938
65,0.02,579,436,0.2579008350024805
66,0.0203125,571,436,0.2632347785320761
67,0.020625,569,435,0.26462507614820846
68,0.0209375,561,436,0.26990328035768596
69,0.02125,555,435,0.2739596781699775
70,0.021562500000000002,550,434,0.2773497157340368
71,0.021875000000000002,541,435,0.28329649202618545
