frame,time_s,x_px,y_px,distance_m
1,0.0,956,434,0.0
2,0.0003125,949,435,0.0047079630873003665
3,0.000625,946,435,0.006691272763188873
4,0.0009375,939,435,0.011338276557838067
5,0.00125,932,434,0.015979356598109007
6,0.0015625,926,434,0.01997419574763626
7,0.001875,919,433,0.02464383716509847
8,0.0021875,911,432,0.02999087042393925
9,0.0025,906,433,0.03329698364563624
10,0.0028125,899,432,0.03797432636697806
11,0.003125,893,432,0.04196694246234383
12,0.0034375,886,431,0.046649238956634254
13,0.00375,884,430,0.0480119913028382
14,0.0040625,875,430,0.05399604714591701
15,0.004375,870,427,0.05744872545699251
16,0.0046875,865,427,0.06076738498132344
17,0.005,860,425,0.06419769903393203
18,0.0053125,856,424,0.06691272763188873
19,0.005625,848,424,0.07221469059669054
20,0.0059375,844,423,0.0749291220559087
21,0.00625,837,422,0.07963279846281066
22,0.0065625,831,423,0.08354744450054155
23,0.006875,825,422,0.08758582977229586
24,0.0071875,822,420,0.08970368588441174
25,0.0075,814,420,0.09500291559136001
26,0.0078125,808,420,0.09897925571891919
27,0.008125,801,419,0.10368213187054295
28,0.0084375,797,418,0.1063978825830874
29,0.00875,790,418,0.11103608924936237
30,0.0090625,784,416,0.11514411149770507
31,0.009375,779,415,0.11852478236305865
32,0.0096875,771,416,0.12375586432875368
33,0.01,767,414,0.12654002895668848
34,0.0103125,760,414,0.13117571392605834
35,0.010625,754,412,0.13528821601447283
36,0.010937500000000001,748,412,0.13926024300137743
37,0.01125,741,412,0.14389587079506203
38,0.0115625,736,410,0.14734645887454534
39,0.011875,729,410,0.15198045733956725
40,0.0121875,725,409,0.15469939744321126
41,0.0125,719,409,0.15867162719301486
42,0.012812500000000001,713,408,0.16271445134740417
43,0.013125,707,406,0.16683070929204666
44,0.0134375,702,407,0.17006763199183852
45,0.01375,697,406,0.1734486698487938
46,0.0140625,690,406,0.17808302117277355
47,0.014375,684,406,0.18205639081018987
48,0.014687500000000001,677,405,0.18676080716542545
49,0.015,670,404,0.19146539787698622
50,0.0153125,665,402,0.1949176319757483
51,0.015625,661,402,0.19756511467700083
52,0.0159375,655,402,0.20153711658279966
53,0.01625,649,402,0.20551000380356832
54,0.0165625,642,401,0.21021463766647622
55,0.016875,636,401,0.21418800323862094
56,0.0171875,629,399,0.218962296833029
57,0.0175,625,398,0.221681579786585
58,0.017812500000000002,618,397,0.2263869467695282
59,0.018125,613,396,0.22976885744428777
60,0.0184375,606,396,0.2344017236357834
61,0.01875,600,395,0.23844520069566774
62,0.0190625,595,394,0.241827125878982
63,0.019375,590,395,0.24506474178773446
64,0.0196875,584,394,0.24910775426432194
65,0.02,577,393,0.25381292266712546
66,0.0203125,572,392,0.2571944334502962
67,0.020625,565,392,0.2618279397440691
68,0.0209375,560,391,0.26520921799912434
69,0.02125,553,391,0.2698430967501698
70,0.021562500000000002,549,390,0.272562195476676
71,0.021875000000000002,542,389,0.2772674511170338
72,0.0221875,536,388,0.28131093905729054
73,0.0225,531,388,0.2846204136595731
74,0.0228125,524,387,0.28932568722764
75,0.023125,518,388,0.29322711985868594
76,0.0234375,511,387,0.2979318672690621
77,0.02375,507,386,0.3006505374996396
78,0.0240625,501,386,0.3046230389075958
79,0.024375,496,385,0.30800371040727254
80,0.0246875,489,383,0.31278028733415636
81,0.025,486,383,0.31476597615785884
82,0.0253125,478,382,0.3201331816584631
83,0.025625000000000002,473,381,0.32351483550578064
84,0.025937500000000002,466,381,0.32814806674520464
85,0.02625,460,380,0.3321914200305897
86,0.0265625,456,379,0.33491127123614794
87,0.026875,449,378,0.3396168070546372
88,0.0271875,443,377,0.3436606671068467
89,0.0275,438,377,0.3469695332452093
90,0.0278125,433,376,0.3503515436082701
91,0.028125,427,375,0.3543954980857471
92,0.0284375,421,376,0.3582936221717521
93,0.02875,415,375,0.3623370248857048
94,0.0290625,410,374,0.3657187423693539
95,0.029375000000000002,403,373,0.37042425900596515
96,0.029687500000000002,397,373,0.3743952698802725
97,0.03,392,373,0.377704829495158
98,0.0303125,385,372,0.3824100798087497
99,0.030625,382,371,0.3844679585989562
100,0.0309375,374,370,0.3898352639514966
101,0.03125,368,370,0.39380640838754666
102,0.0315625,364,369,0.3965262171441059
103,0.031875,356,369,0.40182127089591463
104,0.0321875,351,368,0.40520276190499965
105,0.0325,345,368,0.40917426954918273
106,0.0328125,340,367,0.4125556650743574
107,0.033125,333,366,0.4172610076001564
108,0.0334375,327,366,0.4212324839184992
109,0.03375,322,365,0.424613902650931
110,0.0340625,316,364,0.428657389083827
111,0.034375,311,363,0.4320391811420957
112,0.0346875,305,362,0.4360829433792785
113,0.035,300,362,0.4393919526845214
114,0.035312500000000004,293,361,0.4440974440477978
115,0.035625000000000004,288,360,0.44747944650130267
116,0.035937500000000004,283,360,0.45078838753295397
117,0.03625,276,359,0.45549390803386025
118,0.0365625,273,359,0.45747934065017315
119,0.036875,265,358,0.46284664889962757
120,0.0371875,262,357,0.4649050974095069
121,0.0375,254,357,0.47019943144527165
122,0.0378125,250,356,0.4729195203829347
123,0.038125,242,355,0.47828688003125247
124,0.0384375,238,355,0.48093404166934256
125,0.03875,232,354,0.48497778713044915
126,0.0390625,226,353,0.4890216351653615
127,0.039375,220,353,0.49299230395454735
128,0.0396875,215,353,0.4963014909461063
129,0.04,208,351,0.5010799040536389
130,0.0403125,203,349,0.5045363935745105
131,0.040625,197,349,0.5085062191148536
132,0.0409375,192,348,0.5118887532122369
133,0.04125,187,347,0.5152714507567463
134,0.0415625,179,346,0.5206389909533655
135,0.041875,177,345,0.5220373234777328
136,0.0421875,170,346,0.52659361607386
137,0.0425,163,346,0.5312255763007514
138,0.0428125,159,345,0.5339461153433972
139,0.043125000000000004,152,345,0.5385782194437819
140,0.043437500000000004,148,344,0.5412986573815327
141,0.043750000000000004,141,344,0.5459309011171549
142,0.0440625,135,344,0.5499017777643549
143,0.044375,131,343,0.5526218222089714
144,0.0446875,127,341,0.5554159467540516
145,0.045,119,343,0.5605640197584161
146,0.0453125,114,341,0.5640183006795774
147,0.045625,108,340,0.5680621315852835
148,0.0459375,104,340,0.5707092201602179
149,0.04625,97,340,0.5753419835696483
150,0.0465625,95,339,0.5767383528884196
151,0.046875,90,338,0.5801204002109518
152,0.0471875,80,338,0.586738387721145
153,0.0475,77,335,0.5889441661550613
